threadid,tweetid,event,support,evidentiality,certainty,responsetype-vs-source,responsetype-vs-previous
500341884678836224,500341884678836224,ferguson,supporting,url-given,somewhat-certain,,
500270780832174080,500270780832174080,ferguson,supporting,url-given,certain,,
500319801344929795,500319801344929795,ferguson,supporting,url-given,certain,,
499530130487017472,499530130487017472,ferguson,supporting,url-given,certain,,
500298752469770240,500298752469770240,ferguson,supporting,no-evidence,certain,,
500327120770301952,500327120770301952,ferguson,supporting,no-evidence,certain,,
500394061887709184,500394061887709184,ferguson,supporting,witnessed,somewhat-certain,,
500377145349521411,500377145349521411,ferguson,supporting,reasoning,somewhat-certain,,
500381163866062848,500381163866062848,ferguson,supporting,url-given,certain,,
500258409988763649,500258409988763649,ferguson,supporting,url-given,somewhat-certain,,
580331561398108160,580331561398108160,germanwings-crash,supporting,reasoning,certain,,
580319078155468800,580319078155468800,germanwings-crash,supporting,url-given,certain,,
580320684305416192,580320684305416192,germanwings-crash,supporting,url-given,certain,,
581047170637381632,581047170637381632,germanwings-crash,supporting,unverifiable-source-quoted,somewhat-certain,,
580333909008871424,580333909008871424,germanwings-crash,supporting,source-quoted,certain,,
580333763512705025,580333763512705025,germanwings-crash,supporting,url-given,certain,,
580371845997682688,580371845997682688,germanwings-crash,supporting,source-quoted,somewhat-certain,,
580323060533764097,580323060533764097,germanwings-crash,supporting,url-given,certain,,
580321156508577792,580321156508577792,germanwings-crash,supporting,unverifiable-source-quoted,certain,,
580322453928431617,580322453928431617,germanwings-crash,supporting,url-given,somewhat-certain,,
524924619812511746,524924619812511746,ottawashooting,supporting,witnessed,certain,,
524922729485848576,524922729485848576,ottawashooting,supporting,url-given,certain,,
524941132237910016,524941132237910016,ottawashooting,supporting,url-given,certain,,
524925987239120897,524925987239120897,ottawashooting,supporting,url-given,certain,,
525025279803424768,525025279803424768,ottawashooting,supporting,url-given,certain,,
524925730053181440,524925730053181440,ottawashooting,supporting,witnessed,certain,,
524962142563610625,524962142563610625,ottawashooting,supporting,source-quoted,certain,,
525023025792835585,525023025792835585,ottawashooting,supporting,url-given,certain,,
524937542131793920,524937542131793920,ottawashooting,supporting,witnessed,certain,,
524926235030589440,524926235030589440,ottawashooting,supporting,url-given,certain,,
524972443308683264,524972443308683264,ottawashooting,supporting,url-given,certain,,
524936872666353664,524936872666353664,ottawashooting,supporting,source-quoted,certain,,
524993533212897281,524993533212897281,ottawashooting,supporting,unverifiable-source-quoted,certain,,
524983581983375360,524983581983375360,ottawashooting,supporting,url-given,certain,,
524991576163250176,524991576163250176,ottawashooting,supporting,url-given,somewhat-certain,,
524964948683005952,524964948683005952,ottawashooting,supporting,source-quoted,certain,,
544277860555710464,544277860555710464,sydneysiege,supporting,url-given,certain,,
544271069146656768,544271069146656768,sydneysiege,supporting,unverifiable-source-quoted,certain,,
544391176137089024,544391176137089024,sydneysiege,supporting,url-given,certain,,
544504183341064192,544504183341064192,sydneysiege,supporting,url-given,certain,,
544271362022338560,544271362022338560,sydneysiege,supporting,url-given,certain,,
544292670336925696,544292670336925696,sydneysiege,supporting,no-evidence,certain,,
544520042810200064,544520042810200064,sydneysiege,supporting,unverifiable-source-quoted,certain,,
544520273718812672,544520273718812672,sydneysiege,supporting,url-given,certain,,
544518335019229184,544518335019229184,sydneysiege,supporting,witnessed,certain,,
544350712365207552,544350712365207552,sydneysiege,supporting,url-given,certain,,
544515538383564801,544515538383564801,sydneysiege,supporting,url-given,certain,,
544282005941530624,544282005941530624,sydneysiege,supporting,url-given,certain,,
544278335455776769,544278335455776769,sydneysiege,supporting,no-evidence,certain,,
544309275141885952,544309275141885952,sydneysiege,supporting,url-given,somewhat-certain,,
544310853613281281,544310853613281281,sydneysiege,supporting,url-given,somewhat-certain,,
544288681021145090,544288681021145090,sydneysiege,supporting,url-given,certain,,
544319274072817664,544319274072817664,sydneysiege,supporting,witnessed,certain,,
544283772569788416,544283772569788416,sydneysiege,supporting,url-given,certain,,
544282227035869184,544282227035869184,sydneysiege,supporting,url-given,certain,,
553558982476828674,553558982476828674,charliehebdo,supporting,witnessed,certain,,
553212962044149761,553212962044149761,charliehebdo,supporting,url-given,certain,,
553538058440941568,553538058440941568,charliehebdo,supporting,url-given,somewhat-certain,,
552984502063337472,552984502063337472,charliehebdo,denying,url-given,certain,,
553467311261503488,553467311261503488,charliehebdo,supporting,witnessed,somewhat-certain,,
552982613288157184,552982613288157184,charliehebdo,supporting,witnessed,certain,,
552792544132997121,552792544132997121,charliehebdo,supporting,url-given,somewhat-certain,,
553535829017370625,553535829017370625,charliehebdo,supporting,url-given,certain,,
553590835850514433,553590835850514433,charliehebdo,supporting,url-given,somewhat-certain,,
553587672137334785,553587672137334785,charliehebdo,supporting,witnessed,somewhat-certain,,
553470492565602305,553470492565602305,charliehebdo,supporting,url-given,uncertain,,
552821069036670976,552821069036670976,charliehebdo,supporting,url-given,certain,,
553531413459660800,553531413459660800,charliehebdo,supporting,url-given,somewhat-certain,,
553476490315431937,553476490315431937,charliehebdo,supporting,url-given,certain,,
553589051044151296,553589051044151296,charliehebdo,supporting,url-given,certain,,
552791578893619200,552791578893619200,charliehebdo,supporting,witnessed,certain,,
553152395371630592,553152395371630592,charliehebdo,supporting,url-given,certain,,
553505242554175489,553505242554175489,charliehebdo,supporting,witnessed,certain,,
553474188259102720,553474188259102720,charliehebdo,supporting,source-quoted,certain,,
529540733020405760,529540733020405760,prince-toronto,supporting,source-quoted,somewhat-certain,,
529720273285566464,529720273285566464,prince-toronto,supporting,witnessed,certain,,
529695367680761856,529695367680761856,prince-toronto,supporting,witnessed,somewhat-certain,,
529654186791944192,529654186791944192,prince-toronto,supporting,witnessed,somewhat-certain,,
529695483661664257,529695483661664257,prince-toronto,supporting,url-given,somewhat-certain,,
529653029747064832,529653029747064832,prince-toronto,supporting,url-given,somewhat-certain,,
500327106824245249,500327106824245249,ferguson,supporting,reasoning,somewhat-certain,,
500354773133299713,500354773133299713,ferguson,supporting,url-given,somewhat-certain,,
500391222075076610,500391222075076610,ferguson,supporting,witnessed,uncertain,,
499456140044824576,499456140044824576,ferguson,supporting,witnessed,somewhat-certain,,
500363740311982081,500363740311982081,ferguson,supporting,witnessed,somewhat-certain,,
498430783699554305,498430783699554305,ferguson,supporting,witnessed,somewhat-certain,,
499366666300846081,499366666300846081,ferguson,supporting,url-given,certain,,
500294803402137600,500294803402137600,ferguson,supporting,url-given,somewhat-certain,,
500377906305327104,500377906305327104,ferguson,supporting,url-given,somewhat-certain,,
500290456845299714,500290456845299714,ferguson,supporting,url-given,certain,,
500280422295937024,500280422295937024,ferguson,supporting,no-evidence,somewhat-certain,,
500279160795721728,500279160795721728,ferguson,supporting,unverifiable-source-quoted,uncertain,,
581386094337474560,581386094337474560,germanwings-crash,supporting,url-given,certain,,
580324027715063808,580324027715063808,germanwings-crash,supporting,url-given,certain,,
580325090367315968,580325090367315968,germanwings-crash,supporting,url-given,somewhat-certain,,
581063377226637312,581063377226637312,germanwings-crash,supporting,picture-attached,certain,,
580326222107951104,580326222107951104,germanwings-crash,supporting,url-given,certain,,
580319184652890113,580319184652890113,germanwings-crash,supporting,url-given,certain,,
580339825649291264,580339825649291264,germanwings-crash,supporting,witnessed,certain,,
580339547269144576,580339547269144576,germanwings-crash,supporting,url-given,somewhat-certain,,
525003468659228672,525003468659228672,ottawashooting,supporting,url-given,certain,,
524975705206304769,524975705206304769,ottawashooting,supporting,no-evidence,certain,,
524942470472548352,524942470472548352,ottawashooting,supporting,witnessed,certain,,
524932056560963584,524932056560963584,ottawashooting,supporting,witnessed,somewhat-certain,,
525019752507658240,525019752507658240,ottawashooting,supporting,witnessed,certain,,
524947416869388288,524947416869388288,ottawashooting,supporting,witnessed,somewhat-certain,,
524935485370929152,524935485370929152,ottawashooting,supporting,witnessed,certain,,
524925050739490816,524925050739490816,ottawashooting,supporting,url-given,certain,,
524969201102901248,524969201102901248,ottawashooting,supporting,url-given,somewhat-certain,,
524923462398513152,524923462398513152,ottawashooting,supporting,witnessed,certain,,
524925215235911680,524925215235911680,ottawashooting,supporting,url-given,certain,,
524980744658382848,524980744658382848,ottawashooting,supporting,url-given,certain,,
524981436252950528,524981436252950528,ottawashooting,supporting,witnessed,somewhat-certain,,
524931324763992064,524931324763992064,ottawashooting,supporting,unverifiable-source-quoted,certain,,
524926472432410625,524926472432410625,ottawashooting,supporting,url-given,certain,,
524943490887991296,524943490887991296,ottawashooting,denying,no-evidence,certain,,
524944399890124801,524944399890124801,ottawashooting,supporting,witnessed,certain,,
544380742076088320,544380742076088320,sydneysiege,supporting,url-given,somewhat-certain,,
544358564484378624,544358564484378624,sydneysiege,supporting,url-given,certain,,
544510450101415936,544510450101415936,sydneysiege,supporting,url-given,somewhat-certain,,
544278985249550337,544278985249550337,sydneysiege,supporting,url-given,certain,,
544514564407427072,544514564407427072,sydneysiege,supporting,url-given,somewhat-certain,,
544512676643500033,544512676643500033,sydneysiege,supporting,url-given,certain,,
544329935943237632,544329935943237632,sydneysiege,supporting,witnessed,certain,,
544305540286148609,544305540286148609,sydneysiege,supporting,url-given,somewhat-certain,,
544314234541469696,544314234541469696,sydneysiege,supporting,url-given,somewhat-certain,,
544291965513134080,544291965513134080,sydneysiege,supporting,url-given,somewhat-certain,,
544269749405097984,544269749405097984,sydneysiege,supporting,witnessed,certain,,
544301453717041152,544301453717041152,sydneysiege,supporting,unverifiable-source-quoted,somewhat-certain,,
544274934835707905,544274934835707905,sydneysiege,supporting,url-given,certain,,
544350567183556608,544350567183556608,sydneysiege,supporting,witnessed,somewhat-certain,,
544271284796784640,544271284796784640,sydneysiege,supporting,url-given,certain,,
544289311504355328,544289311504355328,sydneysiege,supporting,url-given,certain,,
544513524438155264,544513524438155264,sydneysiege,supporting,url-given,certain,,
544333764814323713,544333764814323713,sydneysiege,supporting,url-given,certain,,
544517264054423552,544517264054423552,sydneysiege,supporting,witnessed,somewhat-certain,,
544391533240516608,544391533240516608,sydneysiege,supporting,url-given,certain,,
544268732046913536,544268732046913536,sydneysiege,supporting,witnessed,certain,,
544512910538838016,544512910538838016,sydneysiege,supporting,url-given,certain,,
544306402731507712,544306402731507712,sydneysiege,supporting,witnessed,somewhat-certain,,
544382892378714113,544382892378714113,sydneysiege,supporting,url-given,certain,,
544399927045283840,544399927045283840,sydneysiege,supporting,source-quoted,certain,,
544512664769396736,544512664769396736,sydneysiege,supporting,url-given,certain,,
544305745416581120,544305745416581120,sydneysiege,supporting,url-given,certain,,
576323086888361984,576323086888361984,putinmissing,underspecified,source-quoted,certain,,
576829262927413248,576829262927413248,putinmissing,supporting,url-given,somewhat-certain,,
576276947648405505,576276947648405505,putinmissing,supporting,url-given,somewhat-certain,,
576796432730071040,576796432730071040,putinmissing,supporting,url-given,somewhat-certain,,
576812998418939904,576812998418939904,putinmissing,supporting,url-given,certain,,
552978184413921281,552978184413921281,charliehebdo,supporting,source-quoted,somewhat-certain,,
553575232867672064,553575232867672064,charliehebdo,underspecified,url-given,certain,,
553544694765215745,553544694765215745,charliehebdo,supporting,source-quoted,certain,,
553476880339599360,553476880339599360,charliehebdo,supporting,url-given,somewhat-certain,,
552802654641225728,552802654641225728,charliehebdo,supporting,url-given,certain,,
553579224402235393,553579224402235393,charliehebdo,supporting,url-given,certain,,
553586897168392192,553586897168392192,charliehebdo,supporting,url-given,certain,,
553566026030272512,553566026030272512,charliehebdo,supporting,source-quoted,certain,,
553164985460068352,553164985460068352,charliehebdo,supporting,url-given,somewhat-certain,,
553590459688570880,553590459688570880,charliehebdo,supporting,url-given,certain,,
553160652567498752,553160652567498752,charliehebdo,supporting,url-given,certain,,
552785375161499649,552785375161499649,charliehebdo,supporting,url-given,certain,,
552806757672964097,552806757672964097,charliehebdo,supporting,url-given,certain,,
553107921081749504,553107921081749504,charliehebdo,supporting,url-given,certain,,
552810448324943872,552810448324943872,charliehebdo,supporting,url-given,certain,,
553576010898497536,553576010898497536,charliehebdo,supporting,url-given,somewhat-certain,,
553501357156876290,553501357156876290,charliehebdo,supporting,url-given,certain,,
552978099357237248,552978099357237248,charliehebdo,supporting,url-given,certain,,
553587013409325058,553587013409325058,charliehebdo,supporting,no-evidence,certain,,
553461741917863936,553461741917863936,charliehebdo,underspecified,url-given,certain,,
553489393202499584,553489393202499584,charliehebdo,supporting,url-given,certain,,
553543369604210689,553543369604210689,charliehebdo,supporting,url-given,somewhat-certain,,
553508098825261056,553508098825261056,charliehebdo,supporting,url-given,certain,,
552816020403269632,552816020403269632,charliehebdo,supporting,no-evidence,certain,,
553478289474740224,553478289474740224,charliehebdo,supporting,url-given,uncertain,,
552811386259386370,552811386259386370,charliehebdo,supporting,url-given,somewhat-certain,,
553587303172833280,553587303172833280,charliehebdo,supporting,url-given,certain,,
529689679411810304,529689679411810304,prince-toronto,supporting,no-evidence,certain,,
529713467184676864,529713467184676864,prince-toronto,supporting,no-evidence,certain,,
529716453792956416,529716453792956416,prince-toronto,underspecified,url-given,uncertain,,
529687410611728384,529687410611728384,prince-toronto,underspecified,url-given,uncertain,,
500307001629745152,500307001629745152,ferguson,supporting,unverifiable-source-quoted,somewhat-certain,,
500303431928922113,500303431928922113,ferguson,underspecified,no-evidence,somewhat-certain,,
500371149713178625,500371149713178625,ferguson,supporting,url-given,somewhat-certain,,
500413818368184321,500413818368184321,ferguson,supporting,url-given,somewhat-certain,,
500319675797209088,500319675797209088,ferguson,supporting,reasoning,somewhat-certain,,
500284699546517505,500284699546517505,ferguson,underspecified,reasoning,certain,,
500378522788315137,500378522788315137,ferguson,supporting,url-given,certain,,
500363126294863876,500363126294863876,ferguson,supporting,url-given,certain,,
500347114975944705,500347114975944705,ferguson,supporting,url-given,certain,,
500308076004929537,500308076004929537,ferguson,underspecified,unverifiable-source-quoted,somewhat-certain,,
500389488217309184,500389488217309184,ferguson,supporting,reasoning,somewhat-certain,,
500288349924782080,500288349924782080,ferguson,underspecified,reasoning,uncertain,,
499368931367608320,499368931367608320,ferguson,supporting,unverifiable-source-quoted,certain,,
500332933098385408,500332933098385408,ferguson,underspecified,unverifiable-source-quoted,somewhat-certain,,
581293286268129280,581293286268129280,germanwings-crash,supporting,witnessed,uncertain,,
580360165540642816,580360165540642816,germanwings-crash,denying,picture-attached,certain,,
580882341880446977,580882341880446977,germanwings-crash,supporting,url-given,uncertain,,
580340476949086208,580340476949086208,germanwings-crash,supporting,url-given,certain,,
580332109782466561,580332109782466561,germanwings-crash,underspecified,source-quoted,certain,,
524923676484177920,524923676484177920,ottawashooting,supporting,url-given,certain,,
524947867975561216,524947867975561216,ottawashooting,supporting,source-quoted,somewhat-certain,,
524949443607412737,524949443607412737,ottawashooting,supporting,url-given,somewhat-certain,,
525032872647065600,525032872647065600,ottawashooting,supporting,url-given,certain,,
524940659778920448,524940659778920448,ottawashooting,supporting,url-given,certain,,
525056576038518785,525056576038518785,ottawashooting,supporting,url-given,certain,,
524948866773184512,524948866773184512,ottawashooting,supporting,source-quoted,certain,,
525028734991343617,525028734991343617,ottawashooting,supporting,source-quoted,certain,,
525025463648137216,525025463648137216,ottawashooting,supporting,unverifiable-source-quoted,certain,,
524965775036387329,524965775036387329,ottawashooting,supporting,url-given,certain,,
524927281048080385,524927281048080385,ottawashooting,supporting,url-given,certain,,
544512108885725184,544512108885725184,sydneysiege,supporting,source-quoted,certain,,
544374511194632192,544374511194632192,sydneysiege,supporting,url-given,somewhat-certain,,
544292129972170752,544292129972170752,sydneysiege,supporting,unverifiable-source-quoted,somewhat-certain,,
544511199702822913,544511199702822913,sydneysiege,supporting,source-quoted,certain,,
544272537341812736,544272537341812736,sydneysiege,supporting,url-given,certain,,
544306719686656000,544306719686656000,sydneysiege,supporting,unverifiable-source-quoted,certain,,
544352727971954690,544352727971954690,sydneysiege,supporting,url-given,certain,,
544491151118860289,544491151118860289,sydneysiege,supporting,witnessed,certain,,
544287209730236416,544287209730236416,sydneysiege,supporting,url-given,certain,,
544328894812549121,544328894812549121,sydneysiege,supporting,url-given,certain,,
544514570367168512,544514570367168512,sydneysiege,supporting,url-given,certain,,
544324444773433348,544324444773433348,sydneysiege,supporting,unverifiable-source-quoted,certain,,
544277117039837184,544277117039837184,sydneysiege,supporting,unverifiable-source-quoted,somewhat-certain,,
544297696308518912,544297696308518912,sydneysiege,supporting,url-given,certain,,
544381485591982083,544381485591982083,sydneysiege,supporting,source-quoted,uncertain,,
544290258951892992,544290258951892992,sydneysiege,supporting,url-given,certain,,
498280126254428160,498280126254428160,ferguson,supporting,source-quoted,certain,,
544476808566276097,544476808566276097,sydneysiege,supporting,url-given,certain,,
552791196247269378,552791196247269378,charliehebdo,supporting,unverifiable-source-quoted,certain,,
524929497205055488,524929497205055488,ottawashooting,supporting,url-given,certain,,
524970851675176960,524970851675176960,ottawashooting,supporting,url-given,certain,,
544293753130082305,544293753130082305,sydneysiege,supporting,url-given,certain,,
553544252563935234,553544252563935234,charliehebdo,supporting,unverifiable-source-quoted,certain,,
552814494381256704,552814494381256704,charliehebdo,supporting,url-given,certain,,
529739968470867968,529739968470867968,prince-toronto,denying,source-quoted,certain,,
500378223977721856,500378223977721856,ferguson,denying,no-evidence,somewhat-certain,,
580348081100734464,580348081100734464,germanwings-crash,supporting,url-given,certain,,
581473088249958400,581473088249958400,germanwings-crash,supporting,source-quoted,certain,,
524952883343925249,524952883343925249,ottawashooting,supporting,url-given,certain,,
525060425184858112,525060425184858112,ottawashooting,supporting,url-given,certain,,
524959809402331137,524959809402331137,ottawashooting,supporting,url-given,certain,,
525049639016615937,525049639016615937,ottawashooting,supporting,url-given,certain,,
524966904885428226,524966904885428226,ottawashooting,supporting,url-given,certain,,
524995771587108864,524995771587108864,ottawashooting,supporting,url-given,certain,,
525058976376193024,525058976376193024,ottawashooting,supporting,url-given,somewhat-certain,,
525068915068923904,525068915068923904,ottawashooting,supporting,url-given,certain,,
524956129017995264,524956129017995264,ottawashooting,supporting,source-quoted,somewhat-certain,,
524990163446140928,524990163446140928,ottawashooting,denying,source-quoted,certain,,
544462330105712640,544462330105712640,sydneysiege,denying,url-given,certain,,
544291804057960448,544291804057960448,sydneysiege,supporting,url-given,somewhat-certain,,
544289409294553088,544289409294553088,sydneysiege,supporting,url-given,underspecified,,
544289941996326912,544289941996326912,sydneysiege,supporting,url-given,underspecified,,
544358533819420672,544358533819420672,sydneysiege,supporting,url-given,certain,,
544367462012432384,544367462012432384,sydneysiege,supporting,url-given,certain,,
544319832486064128,544319832486064128,sydneysiege,supporting,url-given,certain,,
500280838710247424,500280838710247424,ferguson,supporting,source-quoted,somewhat-certain,,
500281094239817728,500281094239817728,ferguson,supporting,no-evidence,certain,,
500281131057811456,500281131057811456,ferguson,supporting,picture-attached,certain,,
500286058664579072,500286058664579072,ferguson,supporting,url-given,certain,,
524932935137628160,524932935137628160,ottawashooting,supporting,no-evidence,certain,,
524947674164760577,524947674164760577,ottawashooting,supporting,source-quoted,certain,,
521346721226711040,521346721226711040,ebola-essien,supporting,no-evidence,uncertain,,
521360486387175424,521360486387175424,ebola-essien,supporting,source-quoted,certain,,
577258317942149120,577260238316830721,putinmissing,,,,comment,
577258317942149120,577282462788677634,putinmissing,,,,comment,
577258317942149120,577283431089901568,putinmissing,,,,comment,
577258317942149120,577284294051123201,putinmissing,,,,comment,
577258317942149120,577287160329465856,putinmissing,,,,comment,
576755174531862529,576755963597746176,putinmissing,,,,comment,
576755174531862529,576756801045139457,putinmissing,,witnessed,certain,disagreed,
576755174531862529,576758668026245120,putinmissing,,no-evidence,uncertain,appeal-for-more-information,
576319832800555008,576321273594294272,putinmissing,,,,comment,
576319832800555008,576321555384401920,putinmissing,,witnessed,uncertain,agreed,
576319832800555008,576321856166346752,putinmissing,,witnessed,somewhat-certain,disagreed,
576319832800555008,576324695420743680,putinmissing,,,,comment,
576319832800555008,576327925869506560,putinmissing,,url-given,certain,appeal-for-more-information,
576319832800555008,576330432750440448,putinmissing,,,,comment,
576319832800555008,576336207203856385,putinmissing,,,,comment,
576319832800555008,576336711376056320,putinmissing,,,,comment,
576319832800555008,576339955598942208,putinmissing,,,,comment,
576319832800555008,576341114610929664,putinmissing,,,,comment,
576319832800555008,576342675290497024,putinmissing,,,,comment,
576513463738109954,576513717212442625,putinmissing,,witnessed,certain,disagreed,
576513463738109954,576514586087714817,putinmissing,,,,comment,
576513463738109954,576516280431337472,putinmissing,,,,comment,
576513463738109954,576517854268403713,putinmissing,,witnessed,certain,disagreed,
576513463738109954,576526712940310528,putinmissing,,,,comment,
576513463738109954,576530311149932544,putinmissing,,,,comment,
576513463738109954,576611747982897152,putinmissing,,witnessed,certain,disagreed,
552783667052167168,552785374507175936,charliehebdo,,,,comment,
552783667052167168,552792862610694144,charliehebdo,,source-quoted,somewhat-certain,appeal-for-more-information,
552783667052167168,552943855021330432,charliehebdo,,,,comment,
552793679082311680,552794951487352832,charliehebdo,,url-given,certain,agreed,
552793679082311680,552796160101220352,charliehebdo,,,,comment,
552793679082311680,552798473389867009,charliehebdo,,,,comment,
552793679082311680,552798644244860928,charliehebdo,,,,comment,
552793679082311680,552800628012224512,charliehebdo,,,,comment,
552793679082311680,552801740652036096,charliehebdo,,,,comment,
553548567420628992,553549149787140096,charliehebdo,,,,comment,
553548567420628992,553552287889494017,charliehebdo,,url-given,certain,agreed,
553548567420628992,553552395704082432,charliehebdo,,,,comment,
553548567420628992,553552625724301314,charliehebdo,,witnessed,somewhat-certain,agreed,
553548567420628992,553553255255781376,charliehebdo,,witnessed,certain,appeal-for-more-information,
553548567420628992,553554289835376643,charliehebdo,,witnessed,certain,disagreed,
553548567420628992,553559162018611201,charliehebdo,,no-evidence,somewhat-certain,appeal-for-more-information,
553548567420628992,553559527216656385,charliehebdo,,source-quoted,somewhat-certain,appeal-for-more-information,
552832817089236992,552837389870448640,charliehebdo,,url-given,certain,agreed,
552832817089236992,552838782710321152,charliehebdo,,,,comment,
552832817089236992,552839062483369984,charliehebdo,,,,comment,
552832817089236992,552839226317094912,charliehebdo,,,,comment,
552832817089236992,552839829726060544,charliehebdo,,,,comment,
552832817089236992,552840158329200640,charliehebdo,,,,comment,
552832817089236992,552852233901965313,charliehebdo,,,,comment,
552833028201144320,552833272724852736,charliehebdo,,,,comment,
552833028201144320,552833319747194882,charliehebdo,,,,comment,
552833028201144320,552833464933052416,charliehebdo,,,,comment,
552833028201144320,552833762174992384,charliehebdo,,,,comment,
552833028201144320,552833887261691905,charliehebdo,,,,comment,
552833028201144320,552834026948415488,charliehebdo,,,,comment,
552833028201144320,552836259283218434,charliehebdo,,,,comment,
552833028201144320,552836882770690049,charliehebdo,,,,comment,
552833028201144320,552838040503472128,charliehebdo,,,,comment,
552833028201144320,552840222636265472,charliehebdo,,,,comment,
552833028201144320,552842163160367104,charliehebdo,,,,comment,
552833028201144320,552842861209993217,charliehebdo,,,,comment,
552833028201144320,552851863671169024,charliehebdo,,,,comment,
552833028201144320,552876728326971393,charliehebdo,,,,comment,
552833028201144320,552877204304977921,charliehebdo,,,,comment,
553184482241814530,553184702530453505,charliehebdo,,,,comment,
553184482241814530,553184777315287040,charliehebdo,,,,comment,
553184482241814530,553184841873633280,charliehebdo,,no-evidence,underspecified,agreed,
553184482241814530,553184912258654208,charliehebdo,,,,comment,
553184482241814530,553185239791857664,charliehebdo,,,,comment,
553184482241814530,553185273639895040,charliehebdo,,,,comment,
553184482241814530,553185403650322432,charliehebdo,,,,comment,
553184482241814530,553185449150541824,charliehebdo,,witnessed,uncertain,appeal-for-more-information,
553184482241814530,553186074311528448,charliehebdo,,,,comment,
553184482241814530,553187655434108928,charliehebdo,,,,comment,
553184482241814530,553187777689694208,charliehebdo,,,,comment,
553184482241814530,553187813668425728,charliehebdo,,,,comment,
553184482241814530,553188394113986561,charliehebdo,,,,comment,
553184482241814530,553188436178264066,charliehebdo,,,,comment,
553184482241814530,553189048052105216,charliehebdo,,,,comment,
553184482241814530,553192939888058369,charliehebdo,,,,comment,
553184482241814530,553195335661912064,charliehebdo,,,,comment,
553184482241814530,553195879692517376,charliehebdo,,,,comment,
553184482241814530,553196247319064576,charliehebdo,,,,comment,
553534838880608256,553535353790152705,charliehebdo,,witnessed,certain,appeal-for-more-information,
553534838880608256,553535415073132544,charliehebdo,,,,comment,
553534838880608256,553535440821575682,charliehebdo,,,,comment,
553534838880608256,553535581586993152,charliehebdo,,witnessed,uncertain,agreed,
553534838880608256,553539103879200769,charliehebdo,,,,comment,
553512735192141826,553513642478813184,charliehebdo,,witnessed,certain,disagreed,
553512735192141826,553513916572381185,charliehebdo,,,,comment,
553512735192141826,553514819085946881,charliehebdo,,witnessed,uncertain,disagreed,
553512735192141826,553516393791238145,charliehebdo,,,,comment,
553512735192141826,553820631087988736,charliehebdo,,,,comment,
552834961762709505,552835091714416640,charliehebdo,,,,comment,
552834961762709505,552835146844737537,charliehebdo,,,,comment,
552834961762709505,552835533009727488,charliehebdo,,,,comment,
552834961762709505,552836259433828352,charliehebdo,,,,comment,
552834961762709505,552836375670562816,charliehebdo,,,,comment,
552834961762709505,552836509074591748,charliehebdo,,,,comment,
552834961762709505,552837270953529345,charliehebdo,,,,comment,
552834961762709505,552838224981553153,charliehebdo,,,,comment,
552834961762709505,552840744210161664,charliehebdo,,,,comment,
552834961762709505,552843614389559296,charliehebdo,,,,comment,
